code_switched,arabic,english
Okay و إيه بقى أكتر صفة بتحس أنه أنا الشخص اللي قدامي ده لو فيه صفة دي، أنا مش هقدر أتعامل معاه؟,تمام و إيه بقى أكتر صفة بتحس أنه أنا الشخص اللي قدامي ده لو فيه صفة دي، أنا مش هقدر أتعامل معاه؟,"Okay, which trait that people have that makes you avoid interacting with them?"
أنا مش .. مش هعرف ا .. أكون في أي حاجة مشتركة بيني وبينه؟,أنا مش .. مش هعرف ا .. أكون في أي حاجة مشتركة بيني وبينه؟,I won't know .. won't know .. how can I have common things between me and him?
طيب .. طيب إنت إيه أكتر حاجة بتحس ان هي عاملالك stress?,طيب .. طيب إنت إيه أكتر حاجة بتحس ان هي عاملالك ضغط؟,Okay .. okay what causes stress to you?
أيه ممكن أكتر موقف أو أكتر situation بتحس إن إنت you are so stressed و مش عارف تعمل إيه؟,أيه ممكن أكتر موقف أو أكتر موقف بتحس إن إنت فيه مضغوط و مش عارف تعمل إيه؟,What situation makes you feel that you are so stressed and you don't know what to do?
Okay كان السؤال اللي جاي إن إنت إزاي بتعدي ال+stress ده، ف+you answered يعني,تمام كان السؤال اللي جاي إن إنت إزاي بتعدي الضغط ده، فأنت جاوبت يعني,"Okay, the next question is how you get over this stress, so you answered actually ."
طيب ماشي طب جربت قبل كده تكون في evaluation او في .. في حاجة و .. و إنت مش فاهم اللي إنت بتعمله فإن إنت بقيت تتكلم English و بتقول topics .. بتقول expressions كبيرة و بتاع علشان اللي قدامك اه خلاص شكله فاهم يعني,طيب ماشي طب جربت قبل كده تكون في تقييم او في .. في حاجة و .. و إنت مش فاهم اللي إنت بتعمله فإن إنت بقيت تتكلم إنجليزي و بتقول موضوع .. بتقول مصطلحات كبيرة و بتاع علشان اللي قدامك اه خلاص شكله فاهم يعني,Okay have you tried this situation before when you were in an evaluation or anywhere else .. and you don't know what you are doing so you would speak in English and say topics .. sophisticated expressions so that the person in front of you felt that you understood everything.
ممكن إحنا كنا مثلا بنعمل كده ساعات في projects أو في .. في evaluation,ممكن إحنا كنا مثلا بنعمل كده ساعات في مشاريع أو في .. في تقييم,"Yes, sometimes we do this in the projects or in the .. in the evaluation."
لا مش فيك,لا مش فيك,"no, it's not fake."
طيب إنت تقدر تعيش من غير mobile؟,طيب إنت تقدر تعيش من غير موبايل؟,Okay can you live without a mobile?
ليه؟,ليه؟,why?
ليه؟ إيه إهميته أوي كده في حياتك؟,ليه؟ إيه إهميته أوي كده في حياتك؟,Why? What's its importance in your life?
أي حاجة,أي حاجة,Anything
نكمل PhD، نسافر، نقعد في مصر، اي حاجة,نكمل دكتوراه، نسافر، نقعد في مصر، اي حاجة,"PhD completion, traveling, staying in Egypt, or anything"
طيب ممكن نبتدي ان انت تقولنا كده your background، يعني انت .. انت منين اصلا ؟ اتولدت فين في .. في مصر، او لو في مصر يعني,طيب ممكن نبتدي ان انت تقولنا كده عن خلفيتك، يعني انت .. انت منين اصلا ؟ اتولدت فين في .. في مصر، او لو في مصر يعني,"Okay, shall we start by telling us about your background? Where are you from? Where were you born? Where you born in Egypt?"
"و .. و كنت في مدرسة national ولا international؟ كنت English، عربي، French, Deutsch؟ يعني احكلنا كده","و .. و كنت في مدرسة قومية ولا دولية؟ كنت إنجليزي، عربي، فرنسي, ألماني؟ يعني احكلنا كده","Did you go to a national or an international school? Was it English, Arabic, Deutsch or French? What about your background and your study? Tell us"
ماشي طب و دراستك عامة في الجامعة عن ايه اكتر؟ بتدرس ايه؟,ماشي طب و دراستك عامة في الجامعة عن ايه اكتر؟ بتدرس ايه؟,"Okay, well. What is your study at university about in general? What do you study?"
يعني .. يعني مثلا ال+major بتاعي مثلا انا بدرس computer systems و computer software و programs والكلام ده,يعني .. يعني مثلا التخصص بتاعي مثلا انا بدرس أنظمة كومبيوتر و برمجيات كومبيوتر وبرامج والكلام ده,"I mean .. mean, for example, my major is all about computer systems, computer software and programs and so on."
انت دراستك اكتر عن ايه؟,انت دراستك اكتر عن ايه؟,What is your study mainly about?
و انت كنت مقرر او يعني واخد القرار ان انت هتخش ال+major ده Mechatronics؟,و انت كنت مقرر او يعني واخد القرار ان انت هتخش التخصص ده ميكاترونكس؟,"Have you decided or made the decision to go for this major, mechatronics?"
ماشي okay طيب ممكن تحكيلنا عن ال .. ال+bachelor*project بتاعك؟,ماشي تمام طيب ممكن تحكيلنا عن ال .. مشروع التخرج بتاعك؟,"Okay, well, can you tell us about your .. your Bachelor project?"
في weekends انا دايما بروح عند قرايبي,في الأجازات الأسبوعية انا دايما بروح عند قرايبي,I usually visit my relatives on the weekends.
دايما يعني بيبقى في ال+weekends قرايبي لإن والدي و والدتي مش قاعدين معايا هنا، انا قاعد هنا في القاهرة لوحدي، فيا اما عند قرايبي، ده دايما، نادرا احيانا بروح النادي، يا اما بخرج مع صحابي ده مثلا مرة اخر كل term تقريبا,دايما يعني بيبقى في الأجازات الأسبوعية قرايبي لإن والدي و والدتي مش قاعدين معايا هنا، انا قاعد هنا في القاهرة لوحدي، فيا اما عند قرايبي، ده دايما، نادرا احيانا بروح النادي، يا اما بخرج مع صحابي ده مثلا مرة اخر كل ترم تقريبا,"I usually visit my relatives on the weekends because my parents aren't here in Cairo. I am alone, here in Cairo. I either visit my family or sometimes go to the club or hang out with my friends once by the end of each term."
طيب ماشي، ممكن .. ممكن تحكيلنا بعد الجامعة ايه ال+dream*job بتاعتك و .. ليه .. ليه نفسك تكون في ال+position ده؟,طيب ماشي، ممكن .. ممكن تحكيلنا بعد الجامعة ايه وظيفة الأحلام بتاعتك و .. ليه .. ليه نفسك تكون في المنصب ده؟,"Okay, well .. can you tell us what your dream job would be after university? and why .. why do you want to go for this position?"
طيب لما نزلت internship لمدة شهر انت .. و شوفت اكيد الناس اللي بتشتغل و المهندسين او العمال او ايا كان يعني، انت حاسيت ان انت you will prefer ال+working*life ولا ال .. ال+student*life و .. و .. و ال .. و المذاكرة و التلات شهور اجازة و الطريقة دي؟,طيب لما نزلت تدريب لمدة شهر انت .. و شوفت اكيد الناس اللي بتشتغل و المهندسين او العمال او ايا كان يعني، انت حاسيت ان انت هتفضل الحياة المهنية ولا ال .. الحياة الجامعية و .. و .. و ال .. و المذاكرة و التلات شهور اجازة و الطريقة دي؟,"Okay, when you have attended an internship for a month, .. of course, you have seen people who are working there such as engineers or workers or whoever, how was your feeling? Will you prefer the working life or the .. the student life or .. or .. or .. studying and a three-month vacation and so on?"
Okay يعني you will prefer working life ولا ..,تمام يعني أنت بتفضل الحياة المهنية ولا ..,"Okay, actually, you will prefer working life, or not"
Okay طيب ماشي ، انت سافرت برا قبل كده؟,تمام طيب ماشي ، انت سافرت برا قبل كده؟,"Okay, well, have you ever traveled abroad?"
طيب، لو جاتلك .. لو جاتلك فرصة ان انت تسافر برا ب+scholarship او ب+job offer يعني هتاخد القرار ده ولا هتبقى عايز تفضل هنا؟,طيب، لو جاتلك .. لو جاتلك فرصة ان انت تسافر برا ب منحة دراسية او ب عرض عمل يعني هتاخد القرار ده ولا هتبقى عايز تفضل هنا؟,", okay if you have the chance .. have the chance to travel abroad for a scholarship or a job offer, would you make this decision or you want to stay here?"
Okay ماشي، still السؤال لو .. لو جالك offer برا او scholarship ، يعني هتسافر برا تتعلم من غير ما تدفع فلوس كتير او جالك offer فأكيد برا طبعا، لما يكون offer ل+engineer اكيد ال+salary هيكون فارق جدا عن هنا في مصر، انت هتاخد القرار ده ولا لأ؟,تمام ماشي، برضه السؤال لو .. لو جالكعرض برا او منحة دراسية ، يعني هتسافر برا تتعلم من غير ما تدفع فلوس كتير او جالكعرض عمل فأكيد برا طبعا، لما يكون عرض لمهندس اكيد المرتب هيكون فارق جدا عن هنا في مصر، انت هتاخد القرار ده ولا لأ؟,"Okay well, the question is still .. if you got an offer to travel abroad for a scholarship as you would learn without paying a lot of money or got an offer to work abroad, definitely, if it's an offer for an engineer, of course the salary would be very more competitive than that here in Egypt, would you make this decision or not?"
طيب انت في وقت في حياتك او يعني لحظة حاسيت ان it's a turning point و انه انت كنت بتفكر في حاجة ، كنت بتفكر في major و قررت تغير ده خالص او ت .. تروح في حتة تانية؟,طيب انت في وقت في حياتك او يعني لحظة حاسيت ان نقطة تحول و انه انت كنت بتفكر في حاجة ، كنت بتفكر في تخصص و قررت تغير ده خالص او ت .. تروح في حتة تانية؟,"okay is there a moment in your life that you consider a turning point and that you were thinking of something, you were thinking of the major then you decided to change your mind .. and go for something else?"
طيب would you rather be liked or respected?,طيب تفضل أنك تكون محبوب ولا أن الناس تحترمك؟,Okay would you rather be liked or respected?
تحب اكتر الناس تكون بتعمل حاجة علشان هم بيحترموك جدا و عشان they have to do this ولا علشان هم بيحبوك و بيعملوا الحاجة علشان انت ماتدايقش او عشان هم فعلا بيحبوك؟,تحب اكتر الناس تكون بتعمل حاجة علشان هم بيحترموك جدا و عشان لازم يعملوا كده ولا علشان هم بيحبوك و بيعملوا الحاجة علشان انت ماتدايقش او عشان هم فعلا بيحبوك؟,Do you like people do you a favor because they respect you and that they have to do this or because they love you and do this for you in order not to be annoyed or because they really like you?
Okay طيب انت بتحس نفسك شخص سهل الناس تتعامل معاه و .. و ياخده عليه بسرعة ولا لازم يكون في فترة ice breaking و بعدين نقدر نتكلم و نقدر ناخد على بعض؟,تمام طيب انت بتحس نفسك شخص سهل الناس تتعامل معاه و .. و ياخده عليه بسرعة ولا لازم يكون في فترة تعارف و بعدين نقدر نتكلم و نقدر ناخد على بعض؟,"Okay, well do you feel that you are an easy person that people can talk with and .. get along with quickly or you should take time for ice breaking then you can talk and get along with one another?"
طيب و بتحس بصعوبة لو ببتعامل مع ناس of different social level؟,طيب و بتحس بصعوبة لو ببتعامل مع ناس من مستوى اجتماعي مختلف؟,Okay and do you find it difficult to deal with people of different social level?
بتحس ان انت مش عارف ت .. تتكلم معاهم او محتاج تغير طريقتك و اسلوبك و طريقة كلامك؟,بتحس ان انت مش عارف ت .. تتكلم معاهم او محتاج تغير طريقتك و اسلوبك و طريقة كلامك؟,Do you feel that you don't know how to .. talk with them or you need to change your way and attitude as well as your way of speaking?
طيب، ايه اكتر حاجة بتخليك تحس ان انت stressed و .. و بتخليك مضغوك و .. و يعني انت .. انت وراك حاجات كتير مش عارف تعملها او كده ف .. فحاسس ان انت stressed؟ ايه اكتر حاجة بتخليك في ال .. في ال+mood ده؟,طيب، ايه اكتر حاجة بتخليك تحس ان انت مضغوط و .. و بتخليك مضغوك و .. و يعني انت .. انت وراك حاجات كتير مش عارف تعملها او كده ف .. فحاسس ان انت مضغوط؟ ايه اكتر حاجة بتخليك في ال .. في المود ده؟,"Okay, what makes you feel stressed, .. what makes stressed and .. you feel that you have a lot to do or something .. so you feel that you are stressed? What makes you be in such mood?"
اخر سؤال، ممكن تختار اي حاجة انت عايزها و تقنعنا بيها؟,اخر سؤال، ممكن تختار اي حاجة انت عايزها و تقنعنا بيها؟,"The last question, can you choose anything and persuade us of?"
هتيجي لما تكون عايز تعمل حاجة مش .. مش حاجة علي قد ال+skills اللي انت خدتها في الجامعة، هكون عايز حاجة اكتر، انت مش هتعرف تعملها، انا هحتاج ان انا .. ان انا اساعدك فيها، و .. و في نفس الكلام لو انا بعمل حاجة .. باجي اعمل حاجة hardware ، انا مش هقدر اكملها من غير ما انت تكون موجود مثلا,هتيجي لما تكون عايز تعمل حاجة مش .. مش حاجة علي قد المهارات اللي انت خدتها في الجامعة، هكون عايز حاجة اكتر، انت مش هتعرف تعملها، انا هحتاج ان انا .. ان انا اساعدك فيها، و .. و في نفس الكلام لو انا بعمل حاجة .. باجي اعمل حاجة في المعدات ، انا مش هقدر اكملها من غير ما انت تكون موجود مثلا,"It will come when you really want to do something it's not .. about the skills that you acquired at university, I will need more, you cannot do this, , I will need to .. to help you with it, and .. and the same time, I am doing something .. when I want to do something related to hardware, I cannot continue it alone without you, for example."
المثل بيقولك صاحب بالين كداب,المثل بيقولك صاحب بالين كداب,No man can serve two masters.
فلو انا مركز في اللي انا بعمله و انت مركز في اللي انت بتعمله، هنطلع احسن حاجة، صح؟,فلو انا مركز في اللي انا بعمله و انت مركز في اللي انت بتعمله، هنطلع احسن حاجة، صح؟,"If I am focused on what I am doing and you are focused on what you are doing, we will get the best result, right?"
بالظبط however الإتنين في الآخر، في النهاية، مهمين و الإتنين مكملين لبعض,بالظبط لكن الإتنين في الآخر، في النهاية، مهمين و الإتنين مكملين لبعض,"Exactly, however, both, by the end are important and compatible."
بالظبط,بالظبط,Exactly
شكرا، merci,شكرا، شكرا,"Thank you, merci"
Okay المدرسة كنتي national ولا international?,تمام المدرسة كنتي قومية ولا دولية؟,"Okay, your school was national or international?"
Okay,تمام,Okay
ال+languages اللي كانت في المدرسة كنتي المدرسة أصلا English ولا .. ولا French ولا Deutsch ولا ايه؟,اللغات اللي كانت في المدرسة كنتي المدرسة أصلا إنجليزي ولا .. ولا فرنسي ولا ألماني ولا ايه؟,"What languages did you study at school English, French .. or Deutsch or what?"
طيب و في الجامعة كان أنتي قولتي ال+major بتاعك، طب ممكن تحكيلنا كان دراستك إيه أكتر بتدرسوا إيه؟ و ال+project بتاعك .. bachelor project,طيب و في الجامعة كان أنتي قولتي التخصص بتاعك، طب ممكن تحكيلنا كان دراستك إيه أكتر بتدرسوا إيه؟ و المشروع بتاعك .. مشروع التخرج,"When you were at university, you said that your major, can you tell us about your major? and your project .. Bachelor project"
ماشي طب ممكن تحكيلنا على فيلم ..,ماشي طب ممكن تحكيلنا على فيلم ..,"Okay, can you tell us about a movie .."
طيب إنتي .. انتي متجوزة؟,طيب إنتي .. انتي متجوزة؟,Okay what about you .. are you married?
طيب إنتي في المستقبل عامة لما .. لما تحبي تدخلي ولادك مدرسة هتحبي تدخليهم مدرسة national ولا international؟ هتحبي تدخليهم عربي ولا English ولا French؟ إيه الحاجة اللي هتهتمي بيها أوي إن هم يكونوا يتعلموها يعني؟,طيب إنتي في المستقبل عامة لما .. لما تحبي تدخلي ولادك مدرسة هتحبي تدخليهم مدرسة قومية ولا دولية؟ هتحبي تدخليهم عربي ولا إنجليزي ولا فرنسي؟ إيه الحاجة اللي هتهتمي بيها أوي إن هم يكونوا يتعلموها يعني؟,"Okay in the future when .. you enroll your children to a school whether it's national or international? Would you choose for them Arabic, English or French? What would you be interested in teaching your children?"
طيب و هتبقى مدرسة national عادية و لا international؟ okay ممكن انت ممكن تكون مدرسة خاصة بس national ولا international؟,طيب و هتبقى مدرسة قومية عادية و لا دولية؟ تمام ممكن انت ممكن تكون مدرسة خاصة بس قومية ولا دولية؟,"Okay, it will be an ordinary national or international school? Okay, you can be in a private school but it could be national or international?"
في مدارس national بس خاصة,في مدارس قومية بس خاصة,It was a national school but private.
طيب ماشي، طيب انت لو مش .. مش شغالة دلوقتي teacher assistant إيه كانت ال+dream*job بتاعتك و أنتي في الجامعة اصلا ، كان نفسك تشتغلي إيه؟,طيب ماشي، طيب انت لو مش .. مش شغالة دلوقتي مساعد مدرس إيه كانت وظيفة الأحلام بتاعتك و أنتي في الجامعة اصلا ، كان نفسك تشتغلي إيه؟,"Okay well, if you weren't .. weren't a teacher assistant now, what would be your dream job when you were at university, what would you like to be?"
طيب و .. و إنتي قبل كده كنتي عملتي internships في الجامعة أو حاجة؟,طيب و .. و إنتي قبل كده كنتي عملتي تدريبات في الجامعة أو حاجة؟,Okay and .. and have you ever attended internships at university or something?
طيب إنتي دلوقتي إنتي حابة you prefer ال+working*life و لا إنتي عايزة ترجعي student و student life و الجامعة و assignments و TAs بس في نفس الوقت أجازة تلات شهور؟,طيب إنتي دلوقتي إنتي حابة تفضلي الحياة المهنية و لا إنتي عايزة ترجعي طالبة و حياة الطلبة و الجامعة و الواجبات و مدرس مساعد بس في نفس الوقت أجازة تلات شهور؟,"Okay now would you prefer the working life or you want to be a student again and you prefer the student life, university, assignments, TAs, and at the same time there's a three-month vacation?"
ليه؟,ليه؟,Why?
Okay طيب إنتي بتعتبري نفسك شخص سهل الناس تتكلم معاه؟ سهل يكون .. يعني مش محتاجة فترة ice breaking عشان تقدري تتعاملي مع الناس؟ بتقدري تتكلمي معاهم بسهولة و هم يتكلموا معاكي بسهولة؟,تمام طيب إنتي بتعتبري نفسك شخص سهل الناس تتكلم معاه؟ سهل يكون .. يعني مش محتاجة فترة تعارف عشان تقدري تتعاملي مع الناس؟ بتقدري تتكلمي معاهم بسهولة و هم يتكلموا معاكي بسهولة؟,Okay do you consider yourself an easy person to talk with? Is it easy .. or you need some time for ice breaking to deal with people? Can you talk with them easily or they talk with you easily?
طيب و بتحسي بصعوبة في .. في التعامل مع ناس of different social level بتحسي الموضوع صعب أو محتاجة تغيري طريقة كلامك أو طريقة التعامل بتاعتك؟,طيب و بتحسي بصعوبة في .. في التعامل مع ناس من مستوى اجتماعي مختلف بتحسي الموضوع صعب أو محتاجة تغيري طريقة كلامك أو طريقة التعامل بتاعتك؟,Okay do you find it difficult when .. when you deal with people of different social level do you feel that it's difficult or that you need to change your way or the way you act?
طيب إيه أكتر صفة أنتي بتحبيها في نفسك و أنتي مش عايزة ده يتغير انتي عايزة تفضلي بهذا الشكل، بالصفة دي مش عايزة ده .. دي حاجة أنتي بتحبيها؟,طيب إيه أكتر صفة أنتي بتحبيها في نفسك و أنتي مش عايزة ده يتغير انتي عايزة تفضلي بهذا الشكل، بالصفة دي مش عايزة ده .. دي حاجة أنتي بتحبيها؟,"what trait do you like most about yourself and that you want to keep it, you don't need to change this .. this is what you like?"
طيب و إيه أكتر صفة بت .. لما بتلاقيها في الشخص اللي قدامك بتحسي لأ أنا مش عايزة أتعامل مع الشخص ده و هو فيه الصفة دي؟,طيب و إيه أكتر صفة بت .. لما بتلاقيها في الشخص اللي قدامك بتحسي لأ أنا مش عايزة أتعامل مع الشخص ده و هو فيه الصفة دي؟,Okay what trait makes you .. ignore the person in front of you as you feel that you don't want to deal with this person because has has such trait?
طيب ممكن .. ممكن تقوليلنا إيه أكتر حاجة بتخليكي تحسي إن إنتي stressed و .. و مش مرتاحة؟ أكتر حاجة بتوترك,طيب ممكن .. ممكن تقوليلنا إيه أكتر حاجة بتخليكي تحسي إن إنتي مضغوطة و .. و مش مرتاحة؟ أكتر حاجة بتوترك,okay can you .. you tell us about what makes you feel stressed the most and .. and uncomfortable? What makes you feel nervous?
Okay و إزاي بتتغلبي على ده؟ إزاي بتحليه؟,تمام و إزاي بتتغلبي على ده؟ إزاي بتحليه؟,Okay and how can you get over it? How do you solve this?
Okay طيب ماشي إنتي جربتي قبل كده تكوني في موقف إن إنتي في evaluation أو في أي حاجة و أنتي student و .. و بعدين أنتي بتتكلمي في topic أنتي مش فاهماه كويس فإبتاديتي تتكلمي كلام English و كلام كبير أوي علشان اللي قدامك يحس إن أنتي okay أنتي فاهمة فخلاص let's skip ال .. ال+evaluation ده؟,تمام طيب ماشي إنتي جربتي قبل كده تكوني في موقف إن إنتي في تقييم أو في أي حاجة و أنتي طالبة و .. و بعدين أنتي بتتكلمي في موضوع أنتي مش فاهماه كويس فإبتاديتي تتكلمي كلام إنجليزي و كلام كبير أوي علشان اللي قدامك يحس إن أنتي تمام أنتي فاهمة فخلاص خلينا نعدي ال .. التقييم ده؟,"Okay, well have you tried being in a situation in an evaluation or something and you were a student and .. and then you talked about a topic that you didn't understand so you spoke English and used sophisticated words so that the person in front of you would think, okay, you already understand everything so let's skip the .. evaluation?"
طيب حسيتيها قبل كده و أنتي في .. في evaluation مثلا إن في student بيعمل كده في evaluation و عامل نفسه فاهم و هو actually مش فاهم حاجة؟,طيب حسيتيها قبل كده و أنتي في .. في تقييم مثلا إن في طالب بيعمل كده في تقييم و عامل نفسه فاهم و هو فعلياً مش فاهم حاجة؟,Okay have you ever felt this when you .. you were in an evaluation when a student did this in an evaluation and he pretended to understand everything and actually he didn't understand anything?
طيب إنتي تقدري تعيشي من غير mobile؟,طيب إنتي تقدري تعيشي من غير موبايل؟,Okay can you live without a mobile?
اه,اه,Yes
Okay,تمام,Okay
Okay اه,تمام اه,Okay yes
Okay,تمام,Okay
تمام,تمام,Okay
"طيب أخر سؤال ممكن تختاري أي حاجة أنتي عايزاها و تقنعينا بيها، أي حاجة مثلا إن إحنا نكمل research, إن إحنا نكمل masters, إن إحنا نكمل PhD, أي حاجة أنتي من ال+experience بتاعتك عامة في your life انت حاجة إختاريها و إقنعينا بيها، اي حاجة","طيب أخر سؤال ممكن تختاري أي حاجة أنتي عايزاها و تقنعينا بيها، أي حاجة مثلا إن إحنا نكمل بحث, إن إحنا نكمل ماجستير, إن إحنا نكمل الدكتوراه, أي حاجة أنتي من الخبرة بتاعتك عامة في حياتك انت حاجة إختاريها و إقنعينا بيها، اي حاجة","okay the last question can you choose anything and persuade us of anything for example completing the research, Masters or PhD, anything according to your life experience choose anything and persuade us of"
Okay,تمام,Okay
Okay شكرا,تمام شكرا,Okay thank you
"طيب ممكن نبتدي ان انت تعرفنا كده ال+background بتاعتك، أنت كنت أصلا منين، يعني اتولدت فين و .. و كنت مدرستك national ولا international؟ ال+languages اللي كانت فيها English، عربي، French, Deutsch؟ و بعد كده جامعتك، يعني أدينا background كده عنك؟","طيب ممكن نبتدي ان انت تعرفنا كده الخلفية بتاعتك، أنت كنت أصلا منين، يعني اتولدت فين و .. و كنت مدرستك قومية ولا دولية؟ اللغات اللي كانت فيها إنجليزي، عربي، فرنسي, ألماني؟ و بعد كده جامعتك، يعني أدينا خلفية كده عنك؟","Okay shall we start by telling us about your background, where are you from? Where were you born? and .. and your school was national or international? What languages were there English, Arabic, Deutsch and French? After that, what about your university? I mean give give us a background about you?"
طيب و أنت اصلا ال+major بتاعتك أيه و امتى اخترت ال+major دي؟,طيب و أنت اصلا التخصص بتاعتك أيه و امتى اخترت التخصص دي؟,Okay and you what's your major and why did you choose this major?
طيب و أنت كنت عارف اصلا من قبل كده ان انت ناوي تخش computer science ولا أنت قررت ده لما دخلت الجامعة؟ يعني انت مثلا و انت في ثانوية عامة كنت حاسس انه .. او كنت looking for ان انت تخش computer science؟,طيب و أنت كنت عارف اصلا من قبل كده ان انت ناوي تخش حاسبات ومعلومات ولا أنت قررت ده لما دخلت الجامعة؟ يعني انت مثلا و انت في ثانوية عامة كنت حاسس انه .. او كنت بتدور ان انت تخش حاسبات ومعلومات؟,Okay have you known that you would join computer science or have you decided to join university? I mean when you were in the general secondary did you feel that .. you were looking for joining computer science?
طيب ممكن تحكيلنا عن ال+bachelor*project بتاعك بيتكلم عن أيه و .. يعني ادينا brief كده عنه؟,طيب ممكن تحكيلنا عن مشروع التخرج بتاعك بيتكلم عن أيه و .. يعني ادينا موجز كده عنه؟,Okay can you tell us about Bachelor project what is your Bachelor project about .. I mean give us a brief about it?
طيب ممكن تقولنا أيه تاني الهوايات اللي عندك لو أنت عندك hobbies معينة بتحب تعملها في وقت فراغك يعني؟,طيب ممكن تقولنا أيه تاني الهوايات اللي عندك لو أنت عندك هوايات معينة بتحب تعملها في وقت فراغك يعني؟,Okay can you tell us about the hobbies that you have or if you have specific hobbies that you practice during your free time?
طيب انت ليك favorite quote أو .. او حاجة يعني quote معينة دايما بتفتكرها او بتحب ت .. يعني بتحب دايما تفتكر ال+quote دي و تمشي بيها؟,طيب انت ليك مقولة مفضلة أو .. او حاجة يعني مقولة معينة دايما بتفتكرها او بتحب ت .. يعني بتحب دايما تفتكر ال مقولة دي و تمشي بيها؟,Okay do you have a favorite quote or .. or a specific quote that you usually remember?
طيب انت بتحب تتفرج على أفلام؟,طيب انت بتحب تتفرج على أفلام؟,Okay do you like watching movies?
طيب ممكن تقولنا أكتر فيلم بتحبه كان قصته أيه او بيتكلم عن ايه، أكتر فيلم انت فاكره و دايما ده في دماغك يعنى؟,طيب ممكن تقولنا أكتر فيلم بتحبه كان قصته أيه او بيتكلم عن ايه، أكتر فيلم انت فاكره و دايما ده في دماغك يعنى؟,"Okay can you tell us a movie that you love what's its story or what does it talk, a movie that you remember and that it's always in your mind?"
طيب أنت في المستقبل لو أنت يعني فكرت في الموضوع ده قبل كده بتفكر مثلا ولادك تدخلهم مدرسة national ولا international؟ بتفكر تدخلهم مدرسة و English ولا عربي ولا French ولا .. ولا Deutsch؟,طيب أنت في المستقبل لو أنت يعني فكرت في الموضوع ده قبل كده بتفكر مثلا ولادك تدخلهم مدرسة قومية ولا دولية؟ بتفكر تدخلهم مدرسة و إنجليزي ولا عربي ولا فرنسي ولا .. ولا ألماني؟,"Okay in the future have your ever thought about this .. would you enroll your children to a school whether it's national or international? Would you choose for them a school that teaches Arabic, English, French or .. or Deutsch?"
طيب انت سافرت برا مصر قبل كده؟,طيب انت سافرت برا مصر قبل كده؟,Okay have you traveled abroad before?
طيب أنت ايه أكتر مكان نفسك تروحه .. نفسك تزوره يعني؟,طيب أنت ايه أكتر مكان نفسك تروحه .. نفسك تزوره يعني؟,which place do you really want to go .. want to visit?
طيب و لو أنت جاتلك فرصة انه أنت تسافر برا جالك job offer أو جالك scholarship ان انت تدرس برا هتاخد القرار ده و لا هتبقى عايز تقعد هنا؟,طيب و لو أنت جاتلك فرصة انه أنت تسافر برا جالكعرض عمل أو جالكمنحة دراسية ان انت تدرس برا هتاخد القرار ده و لا هتبقى عايز تقعد هنا؟,"okay if you got the chance to travel abroad for a job offer or a scholarship to study abroad, would you made this decision or you want to stay here?"
طيب انت بتعتبر نفسك شخص سهل الكلام معاه، سهل الناس تتكلم معاه ولا .. they need time علشان يحصل ice breaking بينكوا و تعرفوا تتكلموا؟,طيب انت بتعتبر نفسك شخص سهل الكلام معاه، سهل الناس تتكلم معاه ولا .. هم محتاجين وقت علشان يحصل تعارف بينكوا و تعرفوا تتكلموا؟,Okay do you consider yourself an easy person to talk with or they need time for ice breaking so that you can talk?
طيب بتحس بصعوبة لما بتيجي بتتعامل مع ناس of different social level اقل او اعلى، بتحس ان انت الموضوع محتاج تغير طريقك، محتاج تغير طريقة كلامك او كده؟,طيب بتحس بصعوبة لما بتيجي بتتعامل مع ناس من مستوى اجتماعي مختلف اقل او اعلى، بتحس ان انت الموضوع محتاج تغير طريقك، محتاج تغير طريقة كلامك او كده؟,"Okay do you find it difficult when you deal with people of different social level whether it's a lower or higher level, do you feel that you want to change your way, do you want to change your way of speaking or something?"
طيب أيه أكتر صفة بت .. بتحبها في نفسك أكتر صفة بتحس انه انا عايز دي تفضل فيا و مش عايزها تتغير خالص؟,طيب أيه أكتر صفة بت .. بتحبها في نفسك أكتر صفة بتحس انه انا عايز دي تفضل فيا و مش عايزها تتغير خالص؟,Okay what trait do .. you like about yourself that you want it to last forever and that you don't want to change it at all?
طيب انت تقدر تعيش من غير mobile و .. و قولنا ليه في كلتا الحاتين يعني؟,طيب انت تقدر تعيش من غير موبايل و .. و قولنا ليه في كلتا الحاتين يعني؟,okay can you live without a mobile and .. and tell us why in both cases?
طيب أخر سؤال، ممكن تختار اي حاجة أنت عايزاها أي حاجة انت مقتنع بيها و تقنعنا بيها؟,طيب أخر سؤال، ممكن تختار اي حاجة أنت عايزاها أي حاجة انت مقتنع بيها و تقنعنا بيها؟,"Okay last question, can you choose anything and persuade us of?"
شكرا,شكرا,Thank you
طيب ممكن نبتدى أن أنتى تحكيلنا عن ال+background بتاعتك أنتى أصلا منين ومدرستك كانت national ولا international؟,طيب ممكن نبتدى أن أنتى تحكيلنا عن الخلفية بتاعتك أنتى أصلا منين ومدرستك كانت قومية ولا دولية؟,"Okay, can you start by telling us about your background, where do you come from, and did you go to a national or international school?"
Okay طيب و .. و بعد المدرسة أنتى دخلتى جامعة كانت major ايه؟,تمام طيب و .. و بعد المدرسة أنتى دخلتى جامعة كانت تخصص ايه؟,"Okay well and .. and after school, when you went to university, what was the major?"
Okay,تمام,Okay
